strategy_id,symbol,avg_return_pct,med_return_pct,exp_return_pct_per_signal
S147,A,-0.025565980035797735,-0.11070446394036657,-0.0008928493879622718
S148,A,0.23042772863556968,-0.34749346861925534,0.10701512490940315
S158,A,0.8724002601567694,-1.0156626506024096,0.43296901800373
S163,A,0.15613206385513367,-0.19770212461642397,0.14013804755777853
S165,A,0.32003399987121445,-0.41359166309600803,0.3117214284459881
S166,A,0.19784385413220779,-0.1867910546560776,0.19109917728679163
S167,A,-0.005171808600747838,-0.17339453737995975,-0.002935350827451475
S168,A,0.24660283325666482,-0.11877037813561966,0.22071634799767792
S169,A,0.052814597385931375,-0.22180195024485574,0.015725694727271703
S170,A,0.76106533258206,0.38270523276263774,0.08163183192566358
S172,A,-0.5371010173112724,-0.655290220379657,-0.17903367243709079
S173,A,3.1474775229459317,2.037714542754699,3.1474775229459317
S174,A,0.8600035972673878,0.5504902248105735,0.7060523360281641
S175,A,-0.028850190619164325,-0.4175921748881966,-0.017876498481813476
S176,A,0.010693443312153052,-0.14535673771966845,0.0014039644233173052
S177,A,0.18623696027850062,0.01399404889442149,0.01717565609832937
S178,A,0.20216102845944484,-0.0037561241742399333,0.02531807946550922
S179,A,0.19784385413220779,-0.1867910546560776,0.091894686345561
S180,A,0.15613206385513367,-0.19770212461642397,0.14013804755777853
S181,A,0.15613206385513367,-0.19770212461642397,0.14013804755777853
S182,A,0.15613206385513367,-0.19770212461642397,0.14013804755777853
S183,A,0.11226932415806085,-0.2796867995452935,0.10923501809973488
S184,A,0.4321304764674862,0.07195611398758626,0.355872157090871
S185,A,0.86904584860541,0.5510176236880291,0.12036646102568006
S186,A,0.8561835266730471,0.5241688159777822,0.12597213983468772
S187,A,0.15613206385513367,-0.19770212461642397,0.14013804755777853
S188,A,0.5552596769972037,0.2762122837632953,0.14042281406686039
S189,A,0.4770977402334108,0.22390999411161303,0.13490129954460747
S190,A,0.7481084540230462,0.43236412768963733,0.0978957128164552
S191,A,0.06290138527971592,-0.18372484429132602,0.022152668806103507
S192,A,1.1424631659496425,0.7803272947032676,1.0431185428235865
S193,A,0.762581097974013,0.41664577947895276,0.5141272563760281
S194,A,-0.0226065102335199,0.03729469592353689,-0.0017028921464114334
S195,A,0.0,0.0,0.0
S196,A,0.03910035387239203,-0.29938458356101433,0.008081283994502737
S197,A,0.1360845907994918,-0.20733740788554164,0.0571473055019014
S198,A,0.08037017778284804,-0.22180195024485574,0.038609203052544644
S199,A,0.23215450000936227,-0.06302259256371338,0.07545021250304274
S200,A,0.0,0.0,0.0
S201,A,0.06290138527971592,-0.18372484429132602,0.04225732508775985
S202,A,0.07100298431006184,-0.1595828161530638,0.04908096514057448
S204,A,-0.048739096368936786,-0.12276031728075248,-0.003733414781860558
S205,A,0.15613206385513367,-0.19770212461642397,0.07404200966325926
S206,A,0.051440152809153136,-0.23203109661974283,0.012953907094275791
S207,A,0.052814597385931375,-0.22180195024485574,0.015725694727271703
