strategy_id,strategy_name,symbol,signals,filled,win_rate,avg_return_pct,med_return_pct,exp_return_pct_per_signal,exp_pnl_per_signal,total_pnl
S173,MomReversal long call,AMD,574,120,0.8166666666666667,3.0053568498949006,2.1780587726612124,3.0053568498949006,210.55485919698074,25266.583103637688
S174,RubberBand long call EOD,AMD,590,215,0.7441860465116279,0.9788794345895158,0.6316594365311347,0.7709123752261754,86.32497365369383,23566.71780745842
S165,GapDown long call 3 DTE,AMD,794,231,0.43722943722943725,0.5829858474206291,-0.27947356110499083,0.5658392048494341,42.22831475102342,10050.338910743574
S166,GapDown strong call,AMD,409,168,0.44047619047619047,0.43042922235995174,-0.17009990699208288,0.42536534915571705,30.366721423637227,5162.342642018327
S163,A1 GapDown ATM call EOD,AMD,794,312,0.4230769230769231,0.24963404383710897,-0.15543410975605937,0.22316854348761603,21.17037472512758,7388.460779069523
S173,MomReversal long call,GOOG,125,78,0.782051282051282,1.7057447507968557,1.2798453903198186,1.7057447507968557,120.06219107016533,9364.850903472898
S174,RubberBand long call EOD,GOOG,116,84,0.7976190476190477,0.5207226647165244,0.4115513190409754,0.475442433002044,86.20147256592004,7930.535476064645
S165,GapDown long call 3 DTE,GOOG,139,83,0.4457831325301205,0.3296476302536802,-0.1510742251521669,0.3296476302536802,54.43852956046444,4518.397953518548
S166,GapDown strong call,GOOG,61,42,0.3333333333333333,0.05700881259534009,-0.19714522147378993,0.05568302625591357,33.83017122573016,1454.6973627063967
S163,A1 GapDown ATM call EOD,GOOG,139,92,0.45652173913043476,0.14193835124267135,-0.05902403515820685,0.1280228266110369,38.422481343292255,3919.09309701581
S173,MomReversal long call,META,122,115,0.7391304347826086,2.2437369615248994,1.6123650692210387,2.2437369615248994,313.78105640577235,36084.821486663815
S174,RubberBand long call EOD,META,113,111,0.8018018018018018,0.739007107236757,0.5226319667432964,0.7259273354272568,252.01282705640278,28477.449457373514
S165,GapDown long call 3 DTE,META,146,141,0.41843971631205673,0.334112268368919,-0.2251125430761817,0.3294393695106124,65.14895849410145,9316.301064656504
S166,GapDown strong call,META,58,58,0.46551724137931033,0.37197016492987023,-0.11713196116970558,0.37197016492987023,145.1647984092508,8419.558307736545
S163,A1 GapDown ATM call EOD,META,146,142,0.44366197183098594,0.15035292511124432,-0.11091269356019526,0.14623366688901845,44.834564644464734,6545.846438091849
S173,MomReversal long call,TSLA,251,136,0.8014705882352942,3.5888774493468136,2.5775970572394225,3.5888774493468136,441.1567867795159,59997.32300201416
S174,RubberBand long call EOD,TSLA,241,171,0.783625730994152,1.0616938119972539,0.6495059963534515,0.8770514099107749,237.18686583802668,49097.68122847152
S165,GapDown long call 3 DTE,TSLA,328,211,0.46919431279620855,0.6775057077416508,-0.13383275694979252,0.6711441518004145,134.81465932503173,28715.522436231768
S166,GapDown strong call,TSLA,172,142,0.4859154929577465,0.48303629884539695,-0.09164778436128751,0.4763274613614331,122.43583900395099,17630.76081656894
S163,A1 GapDown ATM call EOD,TSLA,328,256,0.4609375,0.31088694009850876,-0.0899849524412025,0.29046371045700087,81.65043164820666,22372.218271608628
