strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor
S130,Short vol IV rank>80,volatility_greeks,AOS,iv_rank_high,1581,50,0.15673981191222572,0.44,-2.663942134117104,-849.7975407833558,0.35367031044243064
S131,IV pct mean rev buy calls,volatility_greeks,AOS,iv_rank_low,4927,101,0.0779320987654321,0.43564356435643564,0.09462628537594175,122.63566584722048,1.076165362342539
S136,Theta harvest short opts,volatility_greeks,AOS,iv_rank_high,1581,50,0.15673981191222572,0.44,-2.663942134117104,-849.7975407833558,0.35367031044243064
S137,Charm decay into expiry,volatility_greeks,AOS,neutral,6831,0,0.0,0.0,0.0,0.0,inf
S144,IV>RV short vol,volatility_greeks,AOS,iv_vs_hv_high,1581,50,0.15673981191222572,0.44,-2.663942134117104,-849.7975407833558,0.35367031044243064
S145,VIX call hedge,volatility_greeks,AOS,crash_hedge,65,20,0.9523809523809523,0.55,20.207850399304817,424.3648583854011,3.752536957734697
S147,Beta delta hedge SPY,volatility_greeks,AOS,neutral,6831,14,0.006597549481621112,0.2857142857142857,-0.19552492377457834,-414.9038882496552,0.2796474907473356
S148,Vol surface smile trade,volatility_greeks,AOS,skew_steep,292,45,0.4945054945054945,0.4888888888888889,11.306018259914472,1028.8476616522169,2.99607040316411
S158,CPI jobs ORB options,event_seasonality,AOS,macro_orb,626,83,0.5,0.40963855421686746,9.623419737298793,1597.4876763916,2.1002076026579437
S163,A1 GapDown ATM call EOD,equity_signal,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S165,GapDown long call 3 DTE,equity_signal,AOS,gap_down,152,50,1.0,0.52,30.534831554479275,1526.7415777239637,3.224697434263621
S166,GapDown strong call,equity_signal,AOS,gap_down_strong,65,21,1.0,0.6666666666666666,27.87518909981866,585.3789710961919,4.002218542050966
S167,GapDown weak skip/half,equity_signal,AOS,gap_down_weak,527,150,0.819672131147541,0.4066666666666667,-4.522859257716771,-827.6832441621691,0.7324912569774232
S168,GapUp long put EOD,equity_signal,AOS,gap_up,140,47,0.9791666666666666,0.3829787234042553,0.9247423260675587,44.387631651242735,1.0406476367412878
S169,VolumeSpike long call EOD,equity_signal,AOS,volume_spike,835,39,0.2867647058823529,0.358974358974359,-0.4668181356281682,-63.4872664454306,0.9471309689162307
S170,Pullback50 long call 3 DTE,equity_signal,AOS,pullback50,3940,120,0.09022556390977443,0.7083333333333334,3.1800048335930553,4229.406428678763,14.568220474577837
S172,52wkLow long call 7 DTE,equity_signal,AOS,low_52w,232,19,0.1958762886597938,0.15789473684210525,-6.4308394646591704,-623.7914280719395,0.0653728028743148
S173,MomReversal long call,equity_signal,AOS,mom_reversal,139,50,0.9615384615384616,0.68,53.39207069983846,2776.3876763916,11.166660024608044
S174,RubberBand long call EOD,equity_signal,AOS,rubber_band,138,51,0.8947368421052632,0.8235294117647058,45.88602591090342,2615.5034769214953,17.64812932969768
S175,RSIRecovery long call 3 DTE,equity_signal,AOS,rsi_recovery,456,89,0.7063492063492064,0.34831460674157305,0.7520066028402965,94.7528319578775,1.0454030845787754
S176,Seasonal calendar match DTE,equity_signal,AOS,seasonal,10771,337,0.09897209985315712,0.4065281899109792,-0.25291221433419925,-861.1660898079494,0.8829874275954028
S177,Regime bull calls only,equity_signal,AOS,regime_bull,6082,129,0.06492199295420231,0.4806201550387597,0.5409045223084054,1074.7772858268017,1.5068311878007503
S178,Regime bear puts only,equity_signal,AOS,regime_bear,4671,160,0.11291460832745237,0.4875,1.4034093503177285,1988.631049400221,1.91619263209905
S179,Regime corr reduced size,equity_signal,AOS,regime_corr,130,21,0.4666666666666667,0.6666666666666666,13.008421579915375,585.3789710961919,4.002218542050966
S180,Signal IV rank filter,equity_signal,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S181,Signal low spread filter,equity_signal,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S182,Signal OI filter,equity_signal,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S183,GapDown VolumeSpike confirm,equity_signal,AOS,gap_down_vol,49,18,1.0,0.6111111111111112,41.217924254501725,741.9226365810309,3.3134908005195784
S184,Fade low vol gap long put,equity_signal,AOS,gap_up_low_vol,36,11,1.0,0.2727272727272727,-12.98418666380914,-142.82605330190052,0.40353452902026377
S185,ORB breakout call 15m,intraday,AOS,orb_breakout,2720,108,0.13059250302297462,1.0,7.699235878615562,6367.26807161507,inf
S186,ORB breakdown put 15m,intraday,AOS,orb_breakdown,2710,106,0.13070283600493218,1.0,6.851668764826241,5556.703368274081,inf
S187,First hour gap fade call,intraday,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S188,VWAP reclaim long call,intraday,AOS,vwap_reclaim,2096,167,0.22416107382550335,0.8203592814371258,8.457522904720594,6300.854564016842,32.889749843607774
S189,VWAP rejection long put,intraday,AOS,vwap_reject,2386,193,0.21685393258426966,0.7512953367875648,6.243924021925368,5557.092379513578,21.214145787457827
S190,Midday consolidation BO,intraday,AOS,midday_breakout,3518,124,0.11081322609472744,1.0,5.789670363019472,6478.641136218789,inf
S191,Power hour momentum call,intraday,AOS,power_hour,1445,199,0.41631799163179917,0.4472361809045226,1.1544091157985674,551.8075573517145,1.1460640584368524
S192,Power hour fade put,intraday,AOS,power_hour_fade,57,21,1.0,0.8571428571428571,52.97382373439161,1112.4502984222238,47.453757430706126
S193,10AM reversal call,intraday,AOS,ten_am_reversal,276,106,0.8760330578512396,0.839622641509434,34.88768863571261,4221.410324921225,39.99920545623936
S194,Lunch lull vol sell,intraday,AOS,lunch_lull,3889,32,0.046242774566473986,0.6875,0.0497433209483516,34.4223780962593,1.126276022986432
S195,Last hour theta short weekly,intraday,AOS,power_hour,1445,0,0.0,0.0,0.0,0.0,inf
S196,Tick imbalance proxy,intraday,AOS,tape_imbalance,1353,61,0.2026578073089701,0.4262295081967213,2.3369513875894277,703.4223676644183,1.4162338808269683
S197,Bid-ask imbalance open,intraday,AOS,open_imbalance,626,99,0.46919431279620855,0.5151515151515151,6.492306465621969,1369.8766642462351,1.8621462131244042
S198,Large opening print follow,intraday,AOS,open_print,199,30,0.5454545454545454,0.43333333333333335,6.8668710064629925,377.6779053554645,1.5273827150319716
S199,UOA call sweep follow,flow_sentiment,AOS,uoa_call,495,21,0.3684210526315789,0.2857142857142857,-1.0416321073174108,-59.373030117092405,0.910148257220164
S200,UOA put sweep follow,flow_sentiment,AOS,uoa_put,233,0,0.0,0.0,0.0,0.0,inf
S201,PCR contrarian bullish,flow_sentiment,AOS,pcr_high,679,199,0.8468085106382979,0.4472361809045226,2.3481172653264477,551.8075573517145,1.1460640584368524
S202,PCR contrarian bearish,flow_sentiment,AOS,pcr_low,766,206,0.8512396694214877,0.3446601941747573,-5.796434589506847,-1402.7371706606575,0.703561958411621
S204,GEX positive fade,flow_sentiment,AOS,gex_positive,9326,138,0.04714724974376495,0.34782608695652173,-0.4827378364057614,-1412.9736471596639,0.605508214478905
S205,GEX negative trend follow,flow_sentiment,AOS,gex_negative,292,49,0.48514851485148514,0.5714285714285714,13.658324767464196,1379.4908015138835,3.017376255399028
S206,Dealer delta hedge proxy,flow_sentiment,AOS,dealer_flow,1047,48,0.2436548223350254,0.3541666666666667,-0.749833676643727,-147.71723429881422,0.9033962484078292
S207,OI change breakout,flow_sentiment,AOS,oi_breakout,834,39,0.2867647058823529,0.358974358974359,-0.4668181356281682,-63.4872664454306,0.9471309689162307
S208,Vol weighted PCR skew,flow_sentiment,AOS,pcr_skew,626,97,0.46411483253588515,0.41237113402061853,1.8497400434099354,386.59566907267646,1.1960239169886298
