strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error
S167,GapDown weak skip/half,equity_signal,PFGC,gap_down_weak,167.0,135.0,0.8083832335329342,0.45185185185185184,2.2124703954048934,369.48255603261725,1.1341193872438207,
S168,GapUp long put EOD,equity_signal,PFGC,gap_up,86.0,85.0,0.9883720930232558,0.3764705882352941,8.312137830991196,714.8438534652425,1.3507787770167885,
S169,VolumeSpike long call EOD,equity_signal,PFGC,volume_spike,143.0,41.0,0.2907801418439716,0.4146341463414634,4.555528119594589,642.3294648628372,1.7512743175255323,
S170,Pullback50 long call 3 DTE,equity_signal,PFGC,pullback50,1117.0,144.0,0.12891674127126232,0.8055555555555556,6.205062360072843,6931.054656201364,30.89792940511557,
S172,52wkLow long call 7 DTE,equity_signal,PFGC,low_52w,6.0,4.0,0.6666666666666666,0.0,-38.604838010751884,-231.62902806451132,0.0,
S173,MomReversal long call,equity_signal,PFGC,mom_reversal,71.0,44.0,1.0,0.8409090909090909,73.3300218616832,3226.520961914061,39.594797658889256,
S174,RubberBand long call EOD,equity_signal,PFGC,rubber_band,74.0,68.0,0.9315068493150684,0.7647058823529411,45.970640981763026,3355.856791668702,9.551657220495688,
S175,RSIRecovery long call 3 DTE,equity_signal,PFGC,rsi_recovery,145.0,91.0,0.6275862068965518,0.3956043956043956,3.645989363943561,528.6684577718158,1.2760404566991743,
S176,Seasonal calendar match DTE,equity_signal,PFGC,seasonal,2703.0,381.0,0.14105886708626433,0.4540682414698163,0.7483803510900454,2021.3753282942141,1.2596080928643971,
S177,Regime bull calls only,equity_signal,PFGC,regime_bull,1549.0,169.0,0.1091026468689477,0.621301775147929,2.7377179181548463,4240.725055221857,3.2874689320241663,
S178,Regime bear puts only,equity_signal,PFGC,regime_bear,1135.0,126.0,0.11120917917034422,0.5317460317460317,2.5443184687936378,2882.7128251431923,2.323515894979833,
S179,Regime corr reduced size,equity_signal,PFGC,regime_corr,95.0,41.0,0.43617021276595747,0.4146341463414634,13.510027795530391,1269.9426127798567,2.3856003002330395,
S180,Signal IV rank filter,equity_signal,PFGC,gap_down,87.0,84.0,0.9767441860465116,0.4880952380952381,20.484421395426313,1761.6602400066633,2.0934731945190954,
S181,Signal low spread filter,equity_signal,PFGC,gap_down,87.0,84.0,0.9767441860465116,0.4880952380952381,20.484421395426313,1761.6602400066633,2.0934731945190954,
S182,Signal OI filter,equity_signal,PFGC,gap_down,87.0,84.0,0.9767441860465116,0.4880952380952381,20.484421395426313,1761.6602400066633,2.0934731945190954,
S183,GapDown VolumeSpike confirm,equity_signal,PFGC,gap_down_vol,29.0,28.0,1.0,0.4642857142857143,29.42681344855904,823.9507765596529,2.6420754441069683,
S184,Fade low vol gap long put,equity_signal,PFGC,gap_up_low_vol,31.0,31.0,1.0,0.3870967741935484,1.8950388093799937,58.7462030907798,1.0861283811945157,
S185,ORB breakout call 15m,intraday,PFGC,orb_breakout,816.0,132.0,0.16216216216216217,1.0,11.646321361304736,9480.105588102055,inf,
S186,ORB breakdown put 15m,intraday,PFGC,orb_breakdown,741.0,106.0,0.14304993252361672,1.0,10.408547838738748,7712.733948505413,inf,
S187,First hour gap fade call,intraday,PFGC,gap_down,87.0,84.0,0.9767441860465116,0.4880952380952381,20.484421395426313,1761.6602400066633,2.0934731945190954,
