strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error,avg_return_pct,med_return_pct,exp_return_pct_per_signal
S195,Last hour theta short weekly,intraday,PYPL,power_hour,756.0,48.0,0.3870967741935484,0.6666666666666666,-39.32275230653827,-4876.021286010746,0.1242230692459697,,-4.152453166536151,0.8231601731601732,-1.6074012257559291
S196,Tick imbalance proxy,intraday,PYPL,tape_imbalance,212.0,75.0,0.3537735849056603,0.3333333333333333,0.8866227101910193,187.9640145604957,1.039764746358695,,0.1419756958910645,-0.3743031652819233,0.0502272509048577
S197,Bid-ask imbalance open,intraday,PYPL,open_imbalance,406.0,202.0,0.4975369458128079,0.4603960396039604,8.590642546085403,3487.8008737106734,1.4001649719913012,,0.162256679035039,-0.0686997415682789,0.0807286925248224
S198,Large opening print follow,intraday,PYPL,open_print,66.0,30.0,0.4545454545454545,0.3,-9.450766635181722,-623.7505979219937,0.6985907869851975,,-0.0510847967748401,-0.2792471824766706,-0.0232203621703818
S199,UOA call sweep follow,flow_sentiment,PYPL,uoa_call,41.0,18.0,0.4390243902439024,0.2222222222222222,-23.83498938149368,-977.234564641241,0.2603088712757063,,-0.2803557483461724,-0.5475492729841798,-0.1230830114690513
S200,UOA put sweep follow,flow_sentiment,PYPL,uoa_put,19.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S201,PCR contrarian bullish,flow_sentiment,PYPL,pcr_high,366.0,359.0,0.9808743169398908,0.4401114206128134,9.537909813037007,3490.874991571542,1.2267375562966962,,0.1123818612405078,-0.1104543747500133,0.1102324813807167
S202,PCR contrarian bearish,flow_sentiment,PYPL,pcr_low,390.0,379.0,0.9717948717948718,0.4010554089709762,8.200308146670555,3198.1201772015206,1.1980258096199072,,0.0477426877566885,-0.1643799638403625,0.0463960991276537
S204,GEX positive fade,flow_sentiment,PYPL,gex_positive,2008.0,295.0,0.1469123505976095,0.4542372881355932,0.7153212011624408,1436.364971934181,1.1167719509066203,,0.0052091240508198,-0.0751915662742847,0.0007652846588604
S205,GEX negative trend follow,flow_sentiment,PYPL,gex_negative,239.0,123.0,0.5146443514644351,0.4552845528455284,12.60647724812932,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1014272383955654
S206,Dealer delta hedge proxy,flow_sentiment,PYPL,dealer_flow,136.0,47.0,0.3455882352941176,0.3617021276595745,-0.8964882200283882,-121.92239792386064,0.9606490164511804,,0.1093829920944479,-0.3205359097479006,0.0378014752091106
S207,OI change breakout,flow_sentiment,PYPL,oi_breakout,94.0,32.0,0.3404255319148936,0.28125,-8.813988257197567,-828.5148961765713,0.6356914383946138,,-0.0947266037768824,-0.4034978762273883,-0.0322473544772365
S208,Vol weighted PCR skew,flow_sentiment,PYPL,pcr_skew,406.0,203.0,0.5,0.458128078817734,8.637608938477829,3506.8692290219983,1.3840314079017133,,0.1319783469535422,-0.102223121634206,0.0659891734767711
S209,Dark pool print call,flow_sentiment,PYPL,dark_pool,66.0,27.0,0.4090909090909091,0.2592592592592592,-13.520578441035278,-892.358177108328,0.5715027293618334,,-0.1035856880687626,-0.4864598427068761,-0.0423759633008574
S210,13F lag overlay,flow_sentiment,PYPL,fundamental_lag,2764.0,654.0,0.2366136034732272,0.4464831804281345,1.7826483225418666,4927.239963505724,1.177899872174375,,0.0640394186243641,-0.0949992443512712,0.0151525976050413
S211,Fixed 1pct risk per trade,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S212,Kelly half sizing,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S213,Tier0 1 contract 75 max,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S214,Tier1 2pct equity,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S215,Max 3 concurrent,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S216,Max 20pct premium at risk,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S217,Stop minus 50pct premium,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S218,Stop underlying minus 1pct,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S219,Profit take plus 50pct,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S220,Sector correlation cap,risk_overlay,PYPL,gap_down,123.0,123.0,1.0,0.4552845528455284,24.49551270164966,3012.948062302907,1.603010449375042,,0.1970821949312207,-0.0860748516365151,0.1970821949312207
S001,Long ATM call,directional_long,Q,momentum,107.0,29.0,0.2710280373831775,0.5172413793103449,6.768757984148186,724.257104303856,1.7021564137461842,,0.1590551442004295,0.1424730024596124,0.0431084035683407
S002,Long OTM call 5pct,directional_long,Q,momentum,107.0,23.0,0.2149532710280373,0.4782608695652174,2.4523954994790618,262.4063184442596,1.3814504921467967,,0.1372742524136146,-0.1384033363206474,0.0295075495842349
S003,Long deep OTM call,directional_long,Q,momentum,107.0,12.0,0.15,0.25,-0.8423853778073904,-67.39083022459126,0.6386611346158153,,-0.1551035806597558,-0.6394307326578479,-0.0232655370989633
S004,Long ITM call replacement,directional_long,Q,momentum,107.0,31.0,0.2897196261682243,0.5161290322580645,8.412335067305925,900.1198522017339,1.6474813142836602,,0.1238827938427428,0.1348129803806864,0.0358912767207946
S005,Long ATM put,directional_long,Q,breakdown,45.0,11.0,0.2444444444444444,0.4545454545454545,13.098960895691857,589.4532403061337,2.244603429158585,,0.3618791189288265,-0.1473327238151706,0.088459340182602
S006,Long OTM put hedge,directional_long,Q,breakdown,45.0,10.0,0.2222222222222222,0.4,8.16814518910947,367.5665335099262,2.140430227580972,,0.3779661604395045,-0.238915705631295,0.0839924800976676
S007,Long put crash hedge,directional_long,Q,breakdown,45.0,11.0,0.2444444444444444,0.4545454545454545,13.098960895691857,589.4532403061337,2.244603429158585,,0.3618791189288265,-0.1473327238151706,0.088459340182602
S008,Long call MA pullback,directional_long,Q,pullback_ma,14.0,3.0,0.2142857142857142,0.6666666666666666,36.81110853390104,515.3555194746145,3.2346941881286626,,1.0448594553531263,0.7814469417049479,0.223898454718527
S009,Long call vol spike uptrend,directional_long,Q,volume_spike,6.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S010,Long put support break,directional_long,Q,breakdown,45.0,11.0,0.2444444444444444,0.4545454545454545,13.098960895691857,589.4532403061337,2.244603429158585,,0.3618791189288265,-0.1473327238151706,0.088459340182602
S011,Long call RSI oversold,directional_long,Q,rsi_oversold,6.0,2.0,0.3333333333333333,0.5,51.88363870407298,311.3018322244379,5.233796582256195,,1.3550915569901143,1.3550915569901143,0.4516971856633714
S012,Long put RSI overbought,directional_long,Q,rsi_overbought,25.0,15.0,0.6,0.4,48.86096421597544,1221.524105399386,2.271183023264541,,0.418361355951206,-0.3657664560304171,0.2510168135707236
S013,Long call MACD bull cross,directional_long,Q,macd_bull,107.0,29.0,0.2710280373831775,0.5172413793103449,6.768757984148186,724.257104303856,1.7021564137461842,,0.1590551442004295,0.1424730024596124,0.0431084035683407
S014,Long put MACD bear cross,directional_long,Q,macd_bear,45.0,11.0,0.2444444444444444,0.4545454545454545,13.098960895691857,589.4532403061337,2.244603429158585,,0.3618791189288265,-0.1473327238151706,0.088459340182602
S015,Long call earnings drift,directional_long,Q,earnings_positive,23.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S016,Long put guidance gap,directional_long,Q,earnings_negative,11.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S017,Long call sector leader,directional_long,Q,sector_leader,12.0,2.0,0.1666666666666666,1.0,27.85030579309351,334.20366951712214,inf,,0.833622759177868,0.833622759177868,0.1389371265296446
S018,Long put sector laggard,directional_long,Q,sector_laggard,6.0,5.0,0.8333333333333334,1.0,355.4356937599757,2132.6141625598543,inf,,2.316031193973559,1.5103458854367455,1.930025994977966
S019,Long call 52wk high BO,directional_long,Q,high_52w_break,3.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S021,Cash secured short put,directional_short,Q,support_retest,107.0,25.0,0.2336448598130841,0.56,-0.4810948604136746,-51.477150064263256,0.9209274304523264,,0.0007680090023637,0.0491808264412955,0.0001794413556924
