strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error
S180,Signal IV rank filter,equity_signal,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S181,Signal low spread filter,equity_signal,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S182,Signal OI filter,equity_signal,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S183,GapDown VolumeSpike confirm,equity_signal,MTDR,gap_down_vol,24.0,19.0,1.0,0.4210526315789473,13.065845707752691,248.25106844730124,1.4882899317388825,
S184,Fade low vol gap long put,equity_signal,MTDR,gap_up_low_vol,169.0,111.0,0.8604651162790697,0.4864864864864865,7.563342685546202,975.6712064354598,1.6631634955437786,
S185,ORB breakout call 15m,intraday,MTDR,orb_breakout,1304.0,180.0,0.1639344262295081,1.0,10.584089508072696,11621.33027986382,inf,
S186,ORB breakdown put 15m,intraday,MTDR,orb_breakdown,1277.0,209.0,0.200191570881226,1.0,14.073607700938089,14692.846439779363,inf,
S187,First hour gap fade call,intraday,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S188,VWAP reclaim long call,intraday,MTDR,vwap_reclaim,811.0,243.0,0.3584070796460177,0.8600823045267489,17.020857666099147,11540.141497615225,54.65023303356459,
S189,VWAP rejection long put,intraday,MTDR,vwap_reject,989.0,271.0,0.3421717171717172,0.8523985239852399,18.44795337782244,14610.77907523537,72.82399835544467,
S190,Midday consolidation BO,intraday,MTDR,midday_breakout,1486.0,206.0,0.1650641025641025,0.9854368932038836,9.409799204294524,11743.429406959567,4260.526024758588,
S191,Power hour momentum call,intraday,MTDR,power_hour,1535.0,401.0,0.3086989992301771,0.4413965087281795,2.14648575830053,2788.285000032389,1.382525194396515,
S192,Power hour fade put,intraday,MTDR,power_hour_fade,173.0,121.0,0.8705035971223022,0.8842975206611571,52.84094563514739,7344.891443285486,112.13861839918872,
