date,symbol,signal_type,entry_price,entry_equity
2026-06-11,SATS,Pullback50,126.88,485.74
2026-06-11,SATS,RSIRecovery,126.88,485.77
2026-06-11,EA,Pullback50,203.15,485.78
2026-06-11,GEV,RSIRecovery,915.94,485.74
2026-06-11,KEYS,Pullback50,337.53,485.66
2026-06-11,LMT,Pullback50,550.1,485.63
2026-06-11,MRNA,Pullback50,49.9,485.65
2026-06-11,NVDA,Pullback50,205.26,485.63
2026-06-11,PCAR,Pullback50,117.72,485.66
2026-06-11,PH,Pullback50,901.5,485.68
2026-06-11,PFE,Pullback50,26.29,485.67
2026-06-11,PCG,Pullback50,16.86,485.6
2026-06-11,PWR,Pullback50,678.98,485.6
2026-06-11,RTX,Pullback50,184.0,485.59
2026-06-11,TDY,Pullback50,625.29,485.64
2026-06-11,TT,Pullback50,461.17,485.7
2026-06-11,WAB,Pullback50,262.92,485.67
2026-06-11,WY,Pullback50,24.3,485.62
2026-06-11,AA,Pullback50,68.66,485.63
2026-06-11,CYTK,Pullback50,69.39,485.67
2026-06-11,ESAB,RSIRecovery,88.86,485.65
2026-06-11,FOUR,MomReversal,38.98,485.61
2026-06-11,FOUR,RSIRecovery,38.98,485.52
2026-06-11,HL,RSIRecovery,14.86,485.65
2026-06-11,RNR,Pullback50,298.06,485.49
2026-06-11,SON,Pullback50,50.74,485.55
2026-06-12,KLAC,GapDown,246.22,486.55
2026-06-12,AEE,Pullback50,109.3,486.54
2026-06-12,BG,Pullback50,125.78,486.55
2026-06-12,CNP,Pullback50,42.94,486.54
2026-06-12,CVX,Pullback50,187.58,486.52
2026-06-12,ED,Pullback50,108.11,486.54
2026-06-12,DE,Pullback50,573.77,486.52
2026-06-12,DUK,Pullback50,125.27,486.54
2026-06-12,ETN,Pullback50,397.96,486.54
2026-06-12,EOG,Pullback50,137.91,486.55
2026-06-12,EXC,Pullback50,46.08,486.55
2026-06-12,FE,Pullback50,47.31,486.53
2026-06-12,FTV,Pullback50,60.31,486.53
2026-06-12,HAL,Pullback50,39.94,486.55
2026-06-12,KMI,Pullback50,31.96,486.54
2026-06-12,LITE,Pullback50,904.1,486.59
2026-06-12,NI,Pullback50,47.26,486.57
2026-06-12,PFE,Pullback50,26.41,486.55
2026-06-12,O,Pullback50,62.64,486.55
2026-06-12,SRE,Pullback50,92.59,486.56
2026-06-12,SO,Pullback50,94.36,486.56
2026-06-12,VTR,Pullback50,84.75,486.54
2026-06-12,VRSN,Pullback50,280.64,486.55
2026-06-12,VZ,Pullback50,47.6,486.55
2026-06-12,WEC,Pullback50,114.28,486.5
2026-06-12,XEL,Pullback50,79.12,486.5
2026-06-12,ADC,Pullback50,75.69,486.48
2026-06-12,AM,Pullback50,21.8,486.48
2026-06-12,BKH,Pullback50,73.11,486.47
2026-06-12,CHH,Pullback50,110.68,486.37
2026-06-12,CRUS,Pullback50,165.51,486.35
2026-06-12,GLPI,Pullback50,47.55,486.35
2026-06-12,GTLS,Pullback50,206.67,486.32
2026-06-12,IDA,Pullback50,143.97,486.3
2026-06-12,KEX,Pullback50,143.22,486.28
2026-06-12,MUR,Pullback50,39.33,486.28
2026-06-12,NWE,Pullback50,70.74,486.27
2026-06-12,OGE,Pullback50,47.88,486.3
2026-06-12,OVV,Pullback50,57.68,486.3
2026-06-12,POR,Pullback50,50.69,486.29
2026-06-12,SWX,Pullback50,88.93,486.3
2026-06-12,ADBE,GapDown,204.75,486.17
2026-06-12,LEN,VolumeSpike,90.97,486.19
2026-06-12,STZ,Pullback50,149.07,486.18
2026-06-12,L,Pullback50,108.11,486.2
2026-06-12,MRNA,Pullback50,50.03,486.27
2026-06-12,PCAR,Pullback50,118.28,486.29
2026-06-12,PCG,Pullback50,16.95,486.33
2026-06-12,WBD,Pullback50,26.91,486.3
2026-06-12,COKE,Pullback50,187.9,486.27
2026-06-12,DTM,Pullback50,142.08,486.3
2026-06-12,IPGP,Pullback50,115.58,486.28
2026-06-12,NXT,Pullback50,123.53,486.35
2026-06-12,PBF,Pullback50,41.73,486.39
2026-06-12,PNFP,Pullback50,95.66,486.37
2026-06-12,RGA,Pullback50,209.53,486.42
2026-06-16,AEE,Pullback50,109.94,484.52
2026-06-16,ED,Pullback50,107.87,484.5
2026-06-16,DUK,Pullback50,125.27,484.56
2026-06-16,EA,Pullback50,203.09,484.57
2026-06-16,EME,Pullback50,856.15,484.63
2026-06-16,FTV,Pullback50,60.65,484.66
2026-06-16,HUBB,Pullback50,504.89,484.64
2026-06-16,PCG,Pullback50,16.82,484.63
2026-06-16,PSX,Pullback50,171.85,484.59
2026-06-16,SRE,Pullback50,92.2,484.58
2026-06-16,TDY,Pullback50,635.41,484.58
2026-06-16,DINO,Pullback50,66.75,484.54
2026-06-16,GTLS,Pullback50,207.28,484.51
2026-06-16,IDA,Pullback50,143.11,484.45
2026-06-16,NOV,Pullback50,20.39,484.37
2026-06-16,NWE,Pullback50,71.16,484.5
2026-06-16,POR,Pullback50,50.67,484.48
2026-06-16,BALL,Pullback50,57.95,483.04
2026-06-16,ETR,Pullback50,112.14,483.06
2026-06-16,EXC,Pullback50,46.44,483.15
2026-06-16,FE,Pullback50,47.58,483.16
2026-06-16,HSY,MomReversal,181.95,483.17
2026-06-16,SO,Pullback50,94.1,483.21
2026-06-16,TFC,Pullback50,49.16,483.21
2026-06-16,VLO,Pullback50,244.32,483.22
2026-06-16,WEC,Pullback50,114.23,483.35
2026-06-16,KNF,Pullback50,82.09,483.43
2026-06-16,NVST,Pullback50,24.83,483.57
2026-06-16,RNR,Pullback50,299.16,483.59
