ts,event,strategy_id,occ,qty,limit,cost,reason,return_pct,order_id
2026-08-21T14:10:53.801003-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:10:53.801003-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,45cb64c1-1edf-4efa-adb4-19fac290633f
2026-08-21T14:21:17.613696-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:21:17.613696-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,eec5cbb9-3c0e-4c57-ba04-27657be49d26
2026-08-21T14:29:22.511714-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:29:22.511714-04:00,exit,ORPHAN,COST260828C01000000,1,,,stop_loss (-47.6%),-47.62,d7a289b1-8ce9-4ea4-a58c-ebea94d59a63
2026-08-21T14:29:22.511714-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,5cdbb30b-c8ba-416c-a9e9-6bf8611aff39
2026-08-21T14:30:53.936707-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:30:53.936707-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,86408a1b-2afa-44ca-a4ef-993c1a1c407d
2026-08-21T14:35:52.506710-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:35:52.506710-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,fd3fa3d8-ed4b-4f16-b74b-82e4980adfd4
2026-08-21T14:40:54.511754-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:40:54.511754-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,cfa85b64-c308-4844-8d55-ddaf889c1b9b
2026-08-21T14:51:08.282606-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:51:08.282606-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,64bc9382-3846-4d85-9e31-5bb63aa01d2a
2026-08-21T14:55:57.410019-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:55:57.410019-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,8bae9ad3-a615-4f90-a30a-a9aba8ff1519
2026-08-21T15:00:57.930826-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T15:00:57.930826-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,fa08e90e-329f-4f6f-9b41-f600a226ba24
2026-08-21T15:11:54.813692-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T15:11:54.813692-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,84779c0f-9b38-443c-b2a4-9b53bf1d2659
2026-08-21T15:16:06.413964-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T15:16:06.413964-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,aad09d12-ee51-4a7c-9f6d-96fab9616838
2026-08-21T15:20:54.278888-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T15:20:54.278888-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,31c782df-138e-4c75-a35f-9e3addf2283e
2026-08-21T15:25:58.278839-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T15:25:58.278839-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,bbbef7a9-b453-42d8-be79-852c81b2eae0
2026-08-21T15:34:31.632145-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T15:34:31.632145-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,54795241-2571-4148-9f35-0c436dcc2b1a
2026-08-21T15:39:32.735306-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T15:39:32.735306-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,1e837410-a71f-4ff3-be40-b97a888f5caf
2026-08-21T15:44:29.243503-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T15:44:29.243503-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,ab53a902-aa5d-48c5-b894-461f07daa5df
2026-08-21T16:01:29.193752-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T16:51:02.255067-04:00,expired_settle,ORPHAN,WMT260821C00110000,1,,,contract_expired,-100.0,
2026-08-27T09:55:23.299197-04:00,entry,S404,CELH260828C00033000,1,0.72,73.0,gap -3.8%,,2a15f2d5-ee80-4fa5-9b68-8e453a417674
